,transf,rss,adjusted_r,aic,kappa,cp
1,boxcox,17.64908034,0.839318721,94.67232881,18.71724622,-35.25118821
2,bickeldoksum,17.64826858,0.839318759,94.67030499,18.71724622,-35.25140663
3,logshiftopt,0.922545881,0.836416604,-35.18495238,18.71724622,-39.75177195
4,yeojohnson,10.36198241,0.83799835,71.24056416,18.71724622,-37.21191681
5,sqrtshift,3.99159794,0.838212835,29.26667906,18.71724622,-38.92598668
6,manly,44.62256202,0.833682272,135.4847897,18.71724622,-27.99347362
7,modulus,10.36198241,0.83799835,71.24056416,18.71724622,-37.21191681
8,dual,12.45255742,0.841146563,79.32699179,18.71724622,-36.6494089
9,gpower,26.14053271,0.837756087,111.9556789,18.71724622,-32.96640575
10,log,4.654298024,0.810245172,36.02505538,18.71724622,-38.74767495
11,glog,3.786789572,0.822013961,26.94906462,18.71724622,-38.98109416
12,neglog,2.49498769,0.830059261,8.590734026,18.71724622,-39.32867737
13,reciprocal,2.076259929,0.509206813,0.507246242,18.71724622,-39.44134383
