,transf,rss,adjusted_r,aic,kappa,cp
1,boxcox,17.88176079,0.845741193,99.078778,23.24161197,-37.18858122
2,bickeldoksum,17.88069346,0.845741218,99.07603226,23.24161197,-37.18886841
3,logshiftopt,1.018484085,0.843682614,-32.73265397,23.24161197,-41.725958
4,yeojohnson,9.929721181,0.844980686,72.01933118,23.24161197,-39.32822469
5,sqrtshift,4.028383054,0.844941808,30.51963395,23.24161197,-40.91608896
6,manly,41.82880196,0.84046688,138.1697575,23.24161197,-30.74518648
7,modulus,9.929721181,0.844980686,72.01933118,23.24161197,-39.32822469
8,dual,13.12649368,0.845671784,84.85794071,23.24161197,-38.46807387
9,gpower,24.85509556,0.845102923,114.2257289,23.24161197,-35.31227641
10,log,5.075827355,0.81317515,41.15135953,23.24161197,-40.63425468
11,glog,3.978451761,0.82891347,29.9459068,23.24161197,-40.9295239
12,neglog,2.584833801,0.837014592,10.10925658,23.24161197,-41.30450261
13,reciprocal,2.405721067,0.518938832,6.805926036,23.24161197,-41.35269621
